id,nom,ville,cuisine,site_actuel,note_google,nb_avis,gmb_completude,lighthouse_mobile,age_site_ans,valeur_apportable,proba_acceptation,score_final,confidence,tier,bande_action,pourquoi_lui,statut,drapeau_rouge,date_scan,argument_qui_a_converti,raison_perte,cta_appel,cta_itineraire,cta_resa,menu_facile,photos_exploitables,instagram_actif,repond_avis,ecart_concurrentiel,angle_approche,commentaire_manuel
l-estaminet,L'Estaminet,Chartres,,aucun,3.9,218,45,,,79,58,69,80,B,Réserve,3.9/218 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
street-food,Street food,Chartres,,aucun,3.5,125,65,,,78,57,69,80,B,Réserve,3.5/125 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
wok-d-asie,Wok d'Asie,Barjouville,chinese,https://restaurantwokdasie.wixsite.com/wok-dasie,4.4,5371,65,41,0.5,62,76,68,95,B,Réserve,site lent (perf 41/100),a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-khedive,Le Khedive,Chartres,,aucun,3.2,97,35,,,78,56,68,80,B,Réserve,3.2/97 avis mais aucun site à lui,a_qualifier,Note Google basse : sujet sensible  ne pas aborder frontalement.,2026-05-17,,,,,,,,,,,,
le-week-end,Le Week-End,Chartres,,aucun,3.7,122,65,,,78,56,68,80,B,Réserve,3.7/122 avis mais aucun site à lui,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
la-civette,La Civette,Chartres,,agrégateur:instagram.com,3.9,210,65,,,76,56,67,80,B,Réserve,3.9/210 avis mais juste une page instagram.com,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
le-jehan,Le Jehan,Chartres,,aucun,3.8,24,45,,,77,52,66,80,B,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
la-casa-tropical,La Casa Tropical,Chartres,,https://lacasatropical.eatbu.com/?lang=fr,4.4,422,85,42,,49,82,64,95,C,Réserve,4.4/422 avis mais site eatbu loué,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
brasserie-le-repere,Brasserie Le Repère,Barjouville,,https://le-repere-barjouville.eatbu.com/,4.7,91,65,60,,44,88,64,95,C,Réserve,4.7/91 avis mais site eatbu loué,a_qualifier,aucun,2026-05-17,,,,,,,,,,,,
dwichee-s,Dwichee's,Chartres,kebab,aucun,3,9,15,,,77,50,64,80,C,Réserve,présence numérique en dessous de ce qu'on livre,a_qualifier,Note Google basse : sujet sensible  ne pas aborder frontalement.,2026-05-17,,,,,,,,,,,,
